date,rate
0,39.38577586
2.109207057,32.66702586
4.014297303,26.1799569
6.12350436,22.47306034
8.16467248,34.52047414
10.27387954,43.32435345
12.31504766,55.37176724
14.42425472,72.28448276
16.53346177,86.41702586
18.57462989,82.24676724
20.68383695,60.00538793
22.72500507,47.95797414
24.83421213,44.25107759
26.94341918,31.97198276
28.91654837,25.25323276
31.02575542,21.77801724
33.06692354,26.64331897
35.1761306,35.21551724
37.21729872,48.42133621
39.32650578,58.38362069
41.43571284,69.04094828
43.47688096,70.66271552
45.58608801,47.7262931
47.62725613,37.99568966
49.73646319,39.15409483
51.84567025,33.82543103
53.75076049,24.09482759
55.85996755,23.39978448
57.90113567,30.58189655
60.01034273,32.20366379
62.05151085,44.48275862
64.16071791,59.07866379
66.26992496,69.27262931
68.31109308,60.23706897
70.42030014,46.3362069
72.46146826,43.09267241
74.57067532,40.54418103
76.67988238,32.66702586
78.58497262,26.1799569
80.69417968,22.24137931
82.7353478,27.33836207
84.84455486,37.76400862
86.88572298,47.03125
88.99493003,57.92025862
91.10413709,70.89439655
93.14530521,68.80926724
95.25451227,50.73814655
97.29568039,50.04310345
99.40488745,49.57974138
101.5140945,38.22737069
103.4191847,30.35021552
105.5283918,28.26508621
107.5695599,34.52047414
109.678767,40.77586207
111.7199351,49.11637931
113.8291422,60.00538793
115.9383492,76.68642241
117.9795173,67.65086207
120.0887244,53.0549569
122.1298925,47.49461207
124.2390996,46.10452586
126.3483066,37.99568966
128.3214358,29.88685345
130.4306429,27.5700431
132.471811,35.67887931
134.581018,40.54418103
136.6221862,48.18965517
138.7313932,58.61530172
140.8406003,70.89439655
142.8817684,69.27262931
144.9909755,56.99353448
147.0321436,52.35991379
149.1413506,48.18965517
151.2505577,42.62931034
153.1556479,35.44719828
155.264855,30.58189655
157.3060231,35.67887931
159.4152302,37.06896552
161.4563983,46.56788793
163.5656054,57.68857759
165.6748124,71.35775862
167.7159805,69.50431034
169.8251876,57.22521552
171.8663557,48.88469828
173.9755628,49.81142241
176.0847698,42.62931034
177.9898601,33.82543103
180.0990671,31.50862069
182.1402352,35.67887931
184.2494423,37.30064655
186.2906104,43.78771552
188.3998175,52.59159483
190.5090245,64.63900862
192.5501927,61.1637931
194.6593997,53.75
196.7005678,48.65301724
198.8097749,48.42133621
200.918982,39.84913793
202.8240722,34.2887931
204.9332793,30.58189655
206.9744474,34.98383621
209.0836544,36.60560345
211.1248226,43.55603448
213.2340296,54.4450431
215.3432367,66.72413793
217.3844048,60.93211207
219.4936118,55.60344828
221.53478,51.66487069
223.643987,51.89655172
225.7531941,41.93426724
227.7263233,32.8987069
229.8355303,29.19181034
231.8766984,35.21551724
233.9859055,34.75215517
236.0270736,41.70258621
238.1362807,54.90840517
240.2454877,66.26077586
242.2866559,63.48060345
244.3958629,59.07866379
246.437031,56.29849138
248.5462381,52.82327586
250.6554451,42.16594828
252.5605354,31.97198276
254.6697424,27.5700431
256.7109106,32.43534483
258.8201176,34.2887931
260.8612857,43.55603448
262.9704928,54.21336207
265.0796999,65.79741379
267.120868,63.01724138
269.230075,54.67672414
271.2712432,53.75
273.3804502,53.98168103
275.4896573,44.94612069
277.3947475,36.83728448
279.5039546,31.04525862
281.5451227,38.22737069
283.6543298,38.69073276
