date,rate
0,24.36970339
1.940475119,25.28072034
3.693162324,28.24152542
5.633637443,34.16313559
7.511516591,50.56144068
9.45199171,60.12711864
11.32987086,66.04872881
13.27034598,52.15572034
15.2108211,44.41207627
17.08870024,52.38347458
19.02917536,40.54025424
20.90705451,33.02436441
22.84752963,33.93538136
24.78800475,31.20233051
26.60328793,33.02436441
28.54376305,32.79661017
30.42164219,35.30190678
32.36211731,61.03813559
34.23999646,62.86016949
36.18047158,51.47245763
38.1209467,36.89618644
39.99882585,33.25211864
41.93930097,20.27012712
43.81718011,21.63665254
45.75765523,26.875
47.69813035,33.70762712
49.45081756,36.6684322
51.39129268,41.90677966
53.26917182,48.51165254
55.20964694,46.68961864
57.08752609,48.51165254
59.02800121,45.09533898
60.96847633,38.94597458
62.84635548,34.39088983
64.7868306,24.59745763
66.66470974,27.33050847
68.60518486,28.46927966
70.54565998,31.65783898
72.29834719,33.47987288
74.23882231,32.79661017
76.11670145,43.27330508
78.05717657,44.41207627
79.93505572,48.51165254
81.87553084,42.59004237
83.81600596,32.79661017
85.69388511,28.6970339
87.63436023,18.90360169
89.51223937,24.14194915
91.45271449,27.33050847
93.39318961,30.29131356
95.14587682,30.74682203
97.08635194,34.16313559
98.96423108,39.40148305
100.9047062,41.45127119
102.7825854,52.61122881
104.7230605,44.63983051
106.6635356,37.80720339
108.5414147,30.5190678
110.4818899,23.91419492
112.359769,23.91419492
114.3002441,28.46927966
116.2407192,31.43008475
118.0560024,33.02436441
119.9964775,33.02436441
121.8743567,44.18432203
123.8148318,48.28389831
125.692711,49.87817797
127.6331861,44.41207627
129.5736612,41.22351695
131.4515403,48.73940678
133.3920155,36.44067797
135.2698946,35.07415254
137.2103697,33.02436441
139.1508448,35.07415254
140.903532,33.93538136
142.8440072,33.02436441
144.7218863,40.54025424
146.6623614,47.60063559
148.5402406,56.02754237
150.4807157,48.96716102
152.4211908,39.40148305
154.29907,30.97457627
156.2395451,26.875
158.1174242,26.875
160.0578994,34.61864407
161.9983745,36.44067797
163.7510617,37.35169492
165.6915368,41.67902542
167.5694159,46.00635593
169.5098911,46.23411017
171.3877702,46.68961864
173.3282453,40.99576271
175.2687205,37.57944915
177.1465996,38.94597458
179.0870747,30.5190678
180.9649539,29.60805085
182.905429,30.97457627
184.8459041,32.11334746
186.5985913,35.52966102
188.5390664,38.71822034
190.4169456,41.67902542
192.3574207,47.60063559
194.2352998,56.02754237
196.175775,49.87817797
198.1162501,40.08474576
199.9941292,33.70762712
201.9346043,28.92478814
203.8124835,30.29131356
205.7529586,34.84639831
207.6934337,38.26271186
209.5087169,39.62923729
211.449192,40.76800847
213.3270712,48.51165254
215.2675463,51.24470339
217.1454254,50.33368644
219.0859006,46.91737288
221.0263757,46.91737288
222.9042548,45.32309322
224.84473,39.62923729
226.7226091,39.17372881
228.6630842,39.40148305
230.6035593,37.80720339
232.3562465,36.21292373
234.2967217,36.21292373
236.1746008,40.76800847
238.1150759,51.9279661
239.9929551,56.48305085
241.9334302,51.01694915
243.8739053,43.04555085
245.7517845,35.75741525
247.6922596,28.92478814
249.5701387,31.20233051
251.5106138,36.44067797
253.451089,39.85699153
255.2037762,39.85699153
257.1442513,40.08474576
259.0221304,45.55084746
260.9626056,51.70021186
262.8404847,59.21610169
264.7809598,48.96716102
266.7214349,50.56144068
268.5993141,54.43326271
270.5397892,47.82838983
272.4176684,43.50105932
274.3581435,41.45127119
276.2986186,37.57944915
278.0513058,38.71822034
279.9917809,43.04555085
281.8696601,40.08474576
283.8101352,45.32309322
285.6880143,51.9279661
287.6284895,49.87817797
289.5689646,47.60063559
291.4468437,43.72881356
293.3873188,35.98516949
295.265198,35.07415254
297.2056731,39.17372881
299.1461482,39.62923729
300.9614314,38.26271186
302.9019065,36.6684322
304.7797857,42.81779661
306.7202608,48.28389831
308.5981399,57.62182203
310.5386151,50.78919492
312.4790902,41.67902542
314.3569693,35.07415254
316.2974444,32.56885593
318.1753236,34.16313559
320.1157987,37.80720339
322.0562738,38.94597458
323.808961,43.27330508
325.7494362,44.41207627
327.6273153,49.87817797
329.5677904,53.29449153
331.4456696,54.43326271
333.3861447,51.24470339
335.3266198,46.46186441
337.204499,44.86758475
339.1449741,35.52966102
341.0228532,29.60805085
342.9633283,32.11334746
344.9038035,35.98516949
346.6564907,37.12394068
348.5969658,38.71822034
350.4748449,46.68961864
352.4153201,49.87817797
354.2931992,53.29449153
356.2336743,44.86758475
358.1741494,37.35169492
360.0520286,33.70762712
361.9925037,24.14194915
363.8703829,25.28072034
365.810858,32.79661017
367.7513331,34.61864407
369.5040203,36.89618644
371.4444954,46.68961864
373.3223746,45.32309322
375.2628497,43.72881356
377.1407288,50.78919492
379.081204,45.77860169
381.0216791,49.65042373
382.8995582,46.46186441
384.8400333,40.3125
386.7179125,38.4904661
388.6583876,35.75741525
390.5988627,34.84639831
392.4141459,36.89618644
394.354621,31.88559322
396.2325002,38.71822034
398.1729753,44.41207627
400.0508544,50.33368644
401.9913296,47.37288136
403.9318047,39.40148305
405.8096838,32.11334746
407.7501589,30.06355932
409.6280381,32.56885593
411.5685132,33.02436441
413.5089883,35.98516949
415.2616755,37.12394068
417.2021506,36.89618644
419.0800298,38.03495763
421.0205049,52.83898305
422.8983841,66.04872881
424.8388592,56.48305085
426.7793343,51.01694915
428.6572134,59.67161017
430.5976886,44.86758475
432.4755677,45.09533898
434.4160428,40.54025424
436.356518,43.04555085
438.1092052,41.22351695
440.0496803,42.36228814
441.9275594,39.40148305
443.8680345,45.32309322
445.7459137,51.9279661
447.6863888,45.32309322
449.6268639,48.96716102
451.5047431,48.51165254
453.4452182,35.07415254
455.3230973,33.47987288
457.2635725,34.16313559
459.2040476,33.25211864
460.9567348,33.70762712
462.8972099,33.70762712
464.7750891,37.57944915
466.7155642,51.70021186
468.5934433,56.25529661
470.5339184,47.14512712
472.4743936,37.80720339
474.3522727,34.61864407
476.2927478,33.25211864
478.170627,35.75741525
480.1111021,34.61864407
482.0515772,34.39088983
483.8668604,35.07415254
485.8073355,33.47987288
487.6852147,38.4904661
489.6256898,47.82838983
491.5035689,58.07733051
493.444044,53.97775424
495.3845192,52.83898305
497.2623983,51.9279661
499.2028734,41.22351695
501.0807526,39.40148305
503.0212277,39.17372881
504.9617028,42.36228814
506.71439,43.72881356
508.6548651,44.63983051
510.5327443,49.65042373
512.4732194,53.97775424
514.3510986,57.84957627
516.2915737,51.24470339
518.2320488,46.00635593
520.1099279,42.59004237
522.0504031,34.61864407
523.9282822,35.07415254
525.8687573,38.4904661
527.8092324,38.71822034
529.5619197,41.22351695
531.5023948,42.59004237
533.3802739,52.83898305
535.320749,53.97775424
537.1986282,63.31567797
539.1391033,53.29449153
541.0795784,52.83898305
542.9574576,49.42266949
544.8979327,42.36228814
546.7758118,38.26271186
548.716287,38.4904661
550.6567621,41.67902542
552.4094493,43.72881356
554.3499244,46.68961864
556.2278036,50.56144068
558.1682787,49.65042373
560.0461578,56.93855932
561.9866329,49.42266949
563.9271081,43.9565678
565.8049872,40.76800847
567.7454623,32.79661017
569.6233415,35.07415254
571.5638166,38.4904661
573.5042917,40.99576271
575.3195749,38.71822034
577.26005,44.18432203
579.1379292,49.65042373
581.0784043,58.53283898
582.9562834,67.1875
584.8967585,61.94915254
586.8372337,55.79978814
588.7151128,47.60063559
590.6555879,41.22351695
592.5334671,40.76800847
594.4739422,37.57944915
596.4144173,41.22351695
598.1671045,43.50105932
600.1075796,45.32309322
601.9854588,49.87817797
603.9259339,66.50423729
605.803813,73.10911017
607.7442882,64.22669492
609.6847633,62.17690678
611.5626424,56.71080508
613.5031176,45.32309322
615.3809967,42.81779661
617.3214718,41.45127119
619.2619469,43.72881356
