date,rate
0,26.19173729
2.106063679,22.77542373
4.008314743,19.58686441
6.114378422,33.93538136
8.152504563,60.35487288
10.25856824,63.77118644
12.29669438,81.76377119
14.40275806,88.82415254
16.50882174,88.14088983
18.54694788,94.0625
20.65301156,67.1875
22.6911377,40.76800847
24.79720138,35.98516949
26.90326506,27.33050847
28.87345366,21.40889831
30.97951734,27.10275424
33.01764348,40.54025424
35.12370716,57.16631356
37.1618333,70.37605932
39.26789698,79.94173729
41.37396066,79.71398305
43.4120868,83.13029661
45.51815048,41.90677966
47.55627662,24.82521186
49.6623403,23.2309322
51.76840397,23.00317797
53.67065504,22.77542373
55.77671872,33.93538136
57.81484486,49.19491525
59.92090854,46.91737288
61.95903468,66.73199153
64.06509836,81.76377119
66.17116204,79.03072034
68.20928818,67.87076271
70.31535186,44.18432203
72.353478,33.25211864
74.45954168,28.01377119
76.56560535,23.91419492
78.46785642,21.18114407
80.5739201,27.78601695
82.61204624,47.82838983
84.71810992,47.37288136
86.75623606,65.82097458
88.86229974,81.08050847
90.96836342,80.39724576
93.00648956,71.05932203
95.11255323,36.44067797
97.15067938,33.02436441
99.25674305,30.74682203
101.3628067,24.59745763
103.2650578,24.82521186
105.3711215,34.39088983
107.4092476,49.19491525
109.5153113,48.05614407
111.5534374,70.14830508
113.6595011,81.99152542
115.7655648,83.35805085
117.8036909,70.37605932
119.9097546,40.76800847
121.9478808,28.24152542
124.0539444,26.875
126.1600081,23.68644068
128.1301967,24.59745763
130.2362604,32.56885593
132.2743865,53.97775424
134.3804502,51.01694915
136.4185764,66.04872881
138.52464,82.21927966
140.6307037,83.81355932
142.6688299,80.85275424
144.7748935,55.11652542
146.8130197,45.77860169
148.9190834,36.21292373
151.025147,33.25211864
152.9273981,29.60805085
155.0334618,33.70762712
157.0715879,48.96716102
159.1776516,49.19491525
161.2157777,64.45444915
163.3218414,79.25847458
165.4279051,80.39724576
167.4660312,73.56461864
169.5720949,47.60063559
171.6102211,30.97457627
173.7162847,33.02436441
175.8223484,28.46927966
177.7245995,26.64724576
179.8306632,40.3125
181.8687893,53.75
183.974853,48.96716102
186.0129791,65.13771186
188.1190428,77.89194915
190.2251065,78.34745763
192.2632326,74.70338983
194.3692963,52.61122881
196.4074224,40.08474576
198.5134861,33.47987288
200.6195498,28.92478814
202.5218009,28.92478814
204.6278645,36.44067797
206.6659907,47.37288136
208.7720544,48.51165254
210.8101805,65.82097458
212.9162442,76.29766949
215.0223078,76.9809322
217.060434,65.13771186
219.1664977,48.73940678
221.2046238,35.30190678
223.3106875,34.39088983
225.4167512,28.92478814
227.3869398,26.19173729
229.4930034,35.52966102
231.5311296,54.66101695
233.6371933,49.42266949
235.6753194,63.77118644
237.7813831,78.11970339
239.8874468,80.625
241.9255729,76.75317797
244.0316366,58.98834746
246.0697627,51.24470339
248.1758264,45.55084746
250.2818901,37.35169492
252.1841411,33.47987288
254.2902048,36.6684322
256.328331,48.28389831
258.4343946,49.65042373
260.4725208,66.04872881
262.5785845,75.84216102
264.6846481,78.57521186
266.7227743,72.88135593
268.828838,43.9565678
270.8669641,36.44067797
272.9730278,35.07415254
275.0790915,30.97457627
276.9813425,27.10275424
279.0874062,37.35169492
281.1255323,55.5720339
283.231596,53.52224576
285.2697222,69.92055085
287.3757858,76.06991525
289.4818495,85.18008475
291.5199757,81.30826271
293.6260393,63.31567797
295.6641655,52.38347458
297.7702292,48.05614407
299.8762928,37.12394068
301.7785439,36.89618644
303.8846076,48.05614407
305.9227337,52.38347458
308.0287974,51.70021186
310.0669235,68.55402542
312.1729872,79.71398305
314.2790509,81.30826271
316.317177,73.33686441
318.4232407,49.65042373
320.4613669,36.44067797
322.5674305,36.44067797
324.6734942,31.20233051
326.6436828,29.15254237
