date,rate
0,186.78125
2.137497465,193.23125
4.068140337,188.6625
6.205637802,161.51875
8.274183736,165.28125
10.4116812,169.04375
12.48022713,174.6875
14.6177246,180.6
16.75522206,189.2
18.823768,192.9625
20.96126546,195.65
23.0298114,189.46875
25.16730886,187.5875
27.30480633,181.94375
29.30440073,177.375
31.4418982,149.9625
33.51044413,154.2625
35.64794159,165.81875
37.71648753,172.5375
39.85398499,182.75
41.99148246,191.08125
44.06002839,196.45625
46.19752586,188.125
48.26607179,180.33125
50.40356926,173.075
52.54106672,176.8375
54.47170959,164.20625
56.60920706,149.15625
58.67775299,164.475
60.81525046,165.0125
62.88379639,174.41875
65.02129386,186.5125
67.15879132,190.00625
69.22733725,184.63125
71.36483472,182.48125
73.43338065,177.9125
75.57087812,170.65625
77.70837558,164.475
79.63901845,152.1125
81.77651592,136.25625
83.84506185,157.75625
85.98255932,165.81875
88.05110525,176.56875
90.18860272,187.05
92.32610018,193.76875
94.39464612,192.9625
96.53214358,183.55625
98.60068952,178.18125
100.738187,171.73125
102.8756844,160.44375
104.8063273,145.125
106.9438248,131.41875
109.0123707,156.95
111.1498682,160.7125
113.2184141,174.95625
115.3559116,187.85625
117.493409,194.0375
119.561955,187.85625
121.6994524,176.3
123.7679984,165.0125
125.9054958,154.2625
128.0429933,146.46875
130.0425877,133.8375
132.1800852,123.625
134.2486311,151.0375
136.3861286,150.5
138.4546745,168.775
140.592172,185.975
142.7296694,189.2
144.7982154,183.01875
146.9357128,172.80625
149.0042588,163.4
151.1417562,148.61875
153.2792537,144.5875
155.2098966,132.7625
157.347394,108.0375
159.41594,129.80625
161.5534374,132.225
163.6219834,154.53125
165.7594808,173.88125
167.8969783,173.075
169.9655242,165.55
172.1030217,150.5
174.1715676,141.9
176.3090651,135.9875
178.4465626,132.7625
180.3772054,116.90625
182.5147029,112.06875
184.5832488,131.41875
186.7207463,130.075
188.7892922,147.54375
190.9267897,167.96875
193.0642872,165.28125
195.1328331,152.91875
197.2703306,144.85625
199.3388765,137.6
201.476374,133.3
203.6138714,126.85
205.5445143,118.7875
207.6820118,108.575
209.7505577,128.4625
211.8880552,123.35625
213.9566011,144.5875
216.0940986,155.875
218.231596,148.8875
220.300142,134.375
222.4376394,131.95625
224.5061854,127.65625
226.6436828,126.58125
228.7811803,117.7125
230.7807747,103.7375
232.9182722,91.10625
234.9868181,110.1875
237.1243156,109.38125
239.1928615,127.65625
241.330359,143.5125
243.4678564,138.675
245.5364024,130.6125
247.6738998,128.73125
249.7424458,123.625
251.8799432,115.29375
254.0174407,105.08125
255.9480836,91.375
258.085581,79.81875
260.154127,93.79375
262.2916244,93.25625
264.3601704,114.75625
266.4976678,134.64375
268.6351653,128.73125
270.7037112,117.175
272.8412087,104.54375
274.9097546,102.93125
277.0472521,101.31875
279.1847495,95.94375
281.1153924,85.73125
283.2528899,70.68125
285.3214358,90.03125
287.4589333,87.075
289.5274792,109.38125
291.6649767,118.51875
293.8024741,121.475
295.8710201,115.5625
298.0085175,110.1875
300.0770635,104.00625
302.2145609,99.4375
304.3520584,86.5375
306.2827013,80.0875
308.4201987,75.25
310.4887447,82.50625
312.6262421,82.2375
314.6947881,97.825
316.8322855,119.8625
318.969783,116.6375
321.0383289,105.61875
323.1758264,96.75
325.2443723,91.10625
327.3818698,91.64375
329.5193673,84.11875
331.5189617,71.21875
333.6564591,58.85625
335.7250051,73.6375
337.8625025,72.5625
339.9310485,93.79375
342.0685459,111.53125
344.2060434,103.2
346.2745893,89.7625
348.4120868,82.50625
350.4806327,80.625
352.6181302,79.28125
354.7556277,72.29375
356.6862705,63.425
358.823768,54.55625
360.8923139,68.2625
363.0298114,63.9625
365.0983573,81.1625
367.2358548,99.16875
369.3733523,93.25625
371.4418982,87.88125
373.5793957,80.0875
375.6479416,74.7125
377.7854391,70.14375
379.9229365,65.84375
381.8535794,55.63125
383.9910769,44.6125
386.0596228,55.09375
388.1971203,51.33125
390.2656662,67.1875
392.4031637,83.04375
394.5406611,80.35625
396.6092071,74.7125
398.7467045,63.69375
400.8152505,63.69375
402.9527479,63.9625
405.0902454,56.975
407.0208883,44.6125
409.1583857,42.19375
411.2269317,44.34375
413.3644291,44.6125
415.4329751,59.6625
417.5704725,76.59375
419.70797,80.625
421.7765159,67.45625
423.9140134,67.99375
